fixselect,tax_1,tax_2,tax_3,tax_4,tax_5,tax_6,tax_7,tax_8,tax_bar,names(parsr),nam_1,nam_2,nam_3,nam_4,nam_5,nam_6,nam_7,nam_8,tax_fill
097019579_Firmicutes_Clostridia_Halanaerobiales_Halobacteroidaceae_Orenia_BLAST,097019579,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Orenia,BLAST,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
097019572_Firmicutes_Clostridia_Halanaerobiales_Halobacteroidaceae_Orenia_BLAST,097019572,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Orenia,BLAST,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
RCX12977_Firmicutes_Clostridia_Clostridiales_Hungateiclostridiaceae_Anaerobacterium_BLAST,RCX12977,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Anaerobacterium,BLAST,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
114298729_Firmicutes_Clostridia_Clostridiales_Hungateiclostridiaceae_Anaerobacterium_BLAST,114298729,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Anaerobacterium,BLAST,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
161256615_Firmicutes_Clostridia_Clostridiales_Heliobacteriaceae_Heliobacterium_BLAST,161256615,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Heliobacterium,BLAST,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
161261337_Firmicutes_Clostridia_Clostridiales_Heliobacteriaceae_Heliobacterium_BLAST,161261337,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Heliobacterium,BLAST,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
TWH49490_Firmicutes_Negativicutes_Selenomonadales_Sporomusaceae_Sporomusa_BLAST,TWH49490,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Sporomusa,BLAST,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
145102323_Firmicutes_Negativicutes_Selenomonadales_Sporomusaceae_Sporomusa_BLAST,145102323,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Sporomusa,BLAST,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
ADI36357_Unknown_Unknown_Unknown_Unknown_Methanococcus_BLAST,ADI36357,Unknown,Unknown,Unknown,Unknown,Methanococcus,BLAST,NA,Methanococcus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Methanococcus
048187114_Unknown_Unknown_Unknown_Unknown_Methanococcus_BLAST,048187114,Unknown,Unknown,Unknown,Unknown,Methanococcus,BLAST,NA,Methanococcus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Methanococcus
181505177_Unknown_Unknown_Unknown_Unknown_Methanococcus_BLAST,181505177,Unknown,Unknown,Unknown,Unknown,Methanococcus,BLAST,NA,Methanococcus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Methanococcus
181493888_Unknown_Unknown_Unknown_Unknown_Methanococcus_BLAST,181493888,Unknown,Unknown,Unknown,Unknown,Methanococcus,BLAST,NA,Methanococcus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Methanococcus
181501120_Unknown_Unknown_Unknown_Unknown_Methanococcus_BLAST,181501120,Unknown,Unknown,Unknown,Unknown,Methanococcus,BLAST,NA,Methanococcus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Methanococcus
183547041_Unknown_Unknown_Unknown_Unknown_Methanococcus_BLAST,183547041,Unknown,Unknown,Unknown,Unknown,Methanococcus,BLAST,NA,Methanococcus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Methanococcus
184232021_Unknown_Unknown_Unknown_Unknown_Methanococcus_BLAST,184232021,Unknown,Unknown,Unknown,Unknown,Methanococcus,BLAST,NA,Methanococcus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Methanococcus
181521971_Unknown_Unknown_Unknown_Unknown_Methanococcus_BLAST,181521971,Unknown,Unknown,Unknown,Unknown,Methanococcus,BLAST,NA,Methanococcus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Methanococcus
181504535_Unknown_Unknown_Unknown_Unknown_Methanococcus_BLAST,181504535,Unknown,Unknown,Unknown,Unknown,Methanococcus,BLAST,NA,Methanococcus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Methanococcus
181488902_Unknown_Unknown_Unknown_Unknown_Methanococcus_BLAST,181488902,Unknown,Unknown,Unknown,Unknown,Methanococcus,BLAST,NA,Methanococcus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Methanococcus
092478132_Unknown_Unknown_Unknown_Unknown__BLAST,092478132,Unknown,Unknown,Unknown,Unknown,,BLAST,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117919639_Unknown_Unknown_Unknown_Unknown_unclassified_BLAST,117919639,Unknown,Unknown,Unknown,Unknown,unclassified,BLAST,NA,unclassified,WP_117919639.1 MULTISPECIES: radical SAM protein [unclassified Roseburia],WP_117919639.1,MULTISPECIES:,radical,SAM,protein,[unclassified,Roseburia],NA,NA
118772878_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_BLAST,118772878,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,BLAST,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
118597475_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_BLAST,118597475,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,BLAST,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
118591408_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_BLAST,118591408,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,BLAST,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
118209174_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_BLAST,118209174,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,BLAST,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
SEA32341_Unknown_Unknown_Unknown_Unknown_Lachnospiraceae_BLAST,SEA32341,Unknown,Unknown,Unknown,Unknown,Lachnospiraceae,BLAST,NA,Lachnospiraceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lachnospiraceae
CUN22412_Unknown_Unknown_Unknown_Unknown__BLAST,CUN22412,Unknown,Unknown,Unknown,Unknown,,BLAST,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAB17088_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,DAB17088,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,DAB17088.1 TPA: pyrroloquinoline quinone biosynthesis protein PqqE [Candidatus Gastranaerophilales bacterium HUM_18],DAB17088.1,TPA:,pyrroloquinoline,quinone,biosynthesis,protein,PqqE,[Candidatus Gastranaerophilales bacterium HUM_18],NA
SCH84906_Unknown_Unknown_Unknown_Unknown_uncultured_BLAST,SCH84906,Unknown,Unknown,Unknown,Unknown,uncultured,BLAST,NA,uncultured,SCH84906.1 Anaerobic sulfatase-maturating enzyme homolog YdeM [uncultured Clostridium sp.],SCH84906.1,Anaerobic,sulfatase-maturating,enzyme,homolog,YdeM,[uncultured,Clostridium sp.],NA
RHU27682_Unknown_Unknown_Unknown_Unknown_Firmicutes_BLAST,RHU27682,Unknown,Unknown,Unknown,Unknown,Firmicutes,BLAST,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
RGR54839_Unknown_Unknown_Unknown_Unknown__BLAST,RGR54839,Unknown,Unknown,Unknown,Unknown,,BLAST,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR74189_Unknown_Unknown_Unknown_Unknown__BLAST,ACR74189,Unknown,Unknown,Unknown,Unknown,,BLAST,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OLA16231_Firmicutes_Clostridia_Clostridiales_Eubacteriaceae_Eubacterium_BLAST,OLA16231,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,BLAST,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
RGI67466_Unknown_Unknown_Unknown_Unknown__BLAST,RGI67466,Unknown,Unknown,Unknown,Unknown,,BLAST,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OQB08665_Unknown_Unknown_Unknown_Unknown_Deltaproteobacteria_BLAST,OQB08665,Unknown,Unknown,Unknown,Unknown,Deltaproteobacteria,BLAST,NA,Deltaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deltaproteobacteria
PKN43965_Unknown_Unknown_Unknown_Unknown_Deltaproteobacteria_BLAST,PKN43965,Unknown,Unknown,Unknown,Unknown,Deltaproteobacteria,BLAST,NA,Deltaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deltaproteobacteria
OIP30500_Unknown_Unknown_Unknown_Unknown_Deltaproteobacteria_BLAST,OIP30500,Unknown,Unknown,Unknown,Unknown,Deltaproteobacteria,BLAST,NA,Deltaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deltaproteobacteria
RLB58682_Unknown_Unknown_Unknown_Unknown_Deltaproteobacteria_BLAST,RLB58682,Unknown,Unknown,Unknown,Unknown,Deltaproteobacteria,BLAST,NA,Deltaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deltaproteobacteria
RLB61408_Unknown_Unknown_Unknown_Unknown_Deltaproteobacteria_BLAST,RLB61408,Unknown,Unknown,Unknown,Unknown,Deltaproteobacteria,BLAST,NA,Deltaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deltaproteobacteria
PKN27833_Unknown_Unknown_Unknown_Unknown_Deltaproteobacteria_BLAST,PKN27833,Unknown,Unknown,Unknown,Unknown,Deltaproteobacteria,BLAST,NA,Deltaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deltaproteobacteria
PKN45738_Unknown_Unknown_Unknown_Unknown_Deltaproteobacteria_BLAST,PKN45738,Unknown,Unknown,Unknown,Unknown,Deltaproteobacteria,BLAST,NA,Deltaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deltaproteobacteria
OGR56953_Unknown_Unknown_Unknown_Unknown_Elusimicrobia_BLAST,OGR56953,Unknown,Unknown,Unknown,Unknown,Elusimicrobia,BLAST,NA,Elusimicrobia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elusimicrobia
OQA18562_Unknown_Unknown_Unknown_Unknown_bacterium_BLAST,OQA18562,Unknown,Unknown,Unknown,Unknown,bacterium,BLAST,NA,bacterium,OQA18562.1 Antilisterial bacteriocin subtilosin biosynthesis protein AlbA [bacterium ADurb.Bin363],OQA18562.1,Antilisterial,bacteriocin,subtilosin,biosynthesis,protein,AlbA,[bacterium ADurb.Bin363],NA
SYZ73078_Unknown_Unknown_Unknown_Unknown_candidate_BLAST,SYZ73078,Unknown,Unknown,Unknown,Unknown,candidate,BLAST,NA,candidate,SYZ73078.1 hypothetical protein TRIP_C21193 [candidate division Zixibacteria bacterium],SYZ73078.1,hypothetical,protein,TRIP_C21193,[candidate,division,Zixibacteria,bacterium],NA
TFH62132_Unknown_Unknown_Unknown_Unknown_candidate_BLAST,TFH62132,Unknown,Unknown,Unknown,Unknown,candidate,BLAST,NA,candidate,"TFH62132.1 radical SAM protein, partial [candidate division Zixibacteria bacterium]",TFH62132.1,radical,SAM,"protein,",partial,[candidate,division,Zixibacteria bacterium],NA
PKK83008_Unknown_Unknown_Unknown_Unknown_candidate_BLAST,PKK83008,Unknown,Unknown,Unknown,Unknown,candidate,BLAST,NA,candidate,PKK83008.1 hypothetical protein CVT49_10715 [candidate division Zixibacteria bacterium HGW-Zixibacteria-1],PKK83008.1,hypothetical,protein,CVT49_10715,[candidate,division,Zixibacteria,bacterium HGW-Zixibacteria-1],NA
PKK83010_Unknown_Unknown_Unknown_Unknown_candidate_BLAST,PKK83010,Unknown,Unknown,Unknown,Unknown,candidate,BLAST,NA,candidate,PKK83010.1 hypothetical protein CVT49_10725 [candidate division Zixibacteria bacterium HGW-Zixibacteria-1],PKK83010.1,hypothetical,protein,CVT49_10725,[candidate,division,Zixibacteria,bacterium HGW-Zixibacteria-1],NA
PKK84317_Unknown_Unknown_Unknown_Unknown_candidate_BLAST,PKK84317,Unknown,Unknown,Unknown,Unknown,candidate,BLAST,NA,candidate,PKK84317.1 hypothetical protein CVT49_04090 [candidate division Zixibacteria bacterium HGW-Zixibacteria-1],PKK84317.1,hypothetical,protein,CVT49_04090,[candidate,division,Zixibacteria,bacterium HGW-Zixibacteria-1],NA
KFO67784_Proteobacteria_Deltaproteobacteria_Syntrophobacterales_Syntrophaceae_Smithella_BLAST,KFO67784,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella,BLAST,NA,Deltaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deltaproteobacteria
KFZ45027_Proteobacteria_Deltaproteobacteria_Syntrophobacterales_Syntrophaceae_Smithella_BLAST,KFZ45027,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella,BLAST,NA,Deltaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deltaproteobacteria
TFH06149_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,TFH06149,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,TFH06149.1 radical SAM protein [Candidatus Thorarchaeota archaeon],TFH06149.1,radical,SAM,protein,[Candidatus,Thorarchaeota,archaeon],NA,NA
OLS31401_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,OLS31401,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,OLS31401.1 Antilisterial bacteriocin subtilosin biosynthesis protein AlbA [Candidatus Thorarchaeota archaeon AB_25],OLS31401.1,Antilisterial,bacteriocin,subtilosin,biosynthesis,protein,AlbA,[Candidatus Thorarchaeota archaeon AB_25],NA
KXH70321_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,KXH70321,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,KXH70321.1 hypothetical protein AM326_04470 [Candidatus Thorarchaeota archaeon SMTZ-45],KXH70321.1,hypothetical,protein,AM326_04470,[Candidatus,Thorarchaeota,archaeon,SMTZ-45],NA
TET10565_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,TET10565,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,TET10565.1 radical SAM protein [Candidatus Thorarchaeota archaeon],TET10565.1,radical,SAM,protein,[Candidatus,Thorarchaeota,archaeon],NA,NA
PWI47436_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,PWI47436,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,PWI47436.1 radical SAM protein [Candidatus Heimdallarchaeota archaeon B3_Heim],PWI47436.1,radical,SAM,protein,[Candidatus,Heimdallarchaeota,archaeon,B3_Heim],NA
TFG19191_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,TFG19191,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,TFG19191.1 radical SAM protein [Candidatus Lokiarchaeota archaeon],TFG19191.1,radical,SAM,protein,[Candidatus,Lokiarchaeota,archaeon],NA,NA
OLS14312_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,OLS14312,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,OLS14312.1 radical SAM domain iron-sulfur cluster-binding oxidoreductase [Candidatus Lokiarchaeota archaeon CR_4],OLS14312.1,radical,SAM,domain,iron-sulfur,cluster-binding,oxidoreductase,[Candidatus Lokiarchaeota archaeon CR_4],NA
TET74108_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,TET74108,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,"TET74108.1 SPASM domain-containing protein, partial [Candidatus Heimdallarchaeota archaeon]",TET74108.1,SPASM,domain-containing,"protein,",partial,[Candidatus,Heimdallarchaeota,archaeon],NA
147663049_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,147663049,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,WP_147663049.1 radical SAM protein [Candidatus Prometheoarchaeum syntrophicum],WP_147663049.1,radical,SAM,protein,[Candidatus,Prometheoarchaeum,syntrophicum],NA,NA
TKJ22127_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,TKJ22127,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,TKJ22127.1 radical SAM protein [Candidatus Lokiarchaeota archaeon Loki_b32],TKJ22127.1,radical,SAM,protein,[Candidatus,Lokiarchaeota,archaeon,Loki_b32],NA
TET59837_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,TET59837,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,TET59837.1 radical SAM protein [Candidatus Lokiarchaeota archaeon],TET59837.1,radical,SAM,protein,[Candidatus,Lokiarchaeota,archaeon],NA,NA
TKJ19248_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,TKJ19248,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,TKJ19248.1 radical SAM protein [Candidatus Lokiarchaeota archaeon Loki_b32],TKJ19248.1,radical,SAM,protein,[Candidatus,Lokiarchaeota,archaeon,Loki_b32],NA
KYK26201_Unknown_Unknown_Unknown_Unknown_Thermoplasmatales_BLAST,KYK26201,Unknown,Unknown,Unknown,Unknown,Thermoplasmatales,BLAST,NA,Thermoplasmatales,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thermoplasmatales
RLF63087_Unknown_Unknown_Unknown_Unknown_Thermoplasmata_BLAST,RLF63087,Unknown,Unknown,Unknown,Unknown,Thermoplasmata,BLAST,NA,Thermoplasmata,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thermoplasmata
KYK24463_Unknown_Unknown_Unknown_Unknown_Thermoplasmatales_BLAST,KYK24463,Unknown,Unknown,Unknown,Unknown,Thermoplasmatales,BLAST,NA,Thermoplasmatales,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thermoplasmatales
KYK28925_Unknown_Unknown_Unknown_Unknown_Thermoplasmatales_BLAST,KYK28925,Unknown,Unknown,Unknown,Unknown,Thermoplasmatales,BLAST,NA,Thermoplasmatales,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thermoplasmatales
KYK23162_Unknown_Unknown_Unknown_Unknown_Thermoplasmatales_BLAST,KYK23162,Unknown,Unknown,Unknown,Unknown,Thermoplasmatales,BLAST,NA,Thermoplasmatales,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thermoplasmatales
OGS40599_Unknown_Unknown_Unknown_Unknown_Euryarchaeota_BLAST,OGS40599,Unknown,Unknown,Unknown,Unknown,Euryarchaeota,BLAST,NA,Euryarchaeota,NA,NA,NA,NA,NA,NA,NA,NA,NA,Euryarchaeota
PNX45242_Unknown_Unknown_Unknown_Unknown_Thermoplasmata_BLAST,PNX45242,Unknown,Unknown,Unknown,Unknown,Thermoplasmata,BLAST,NA,Thermoplasmata,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thermoplasmata
PNX52187_Unknown_Unknown_Unknown_Unknown_Thermoplasmata_BLAST,PNX52187,Unknown,Unknown,Unknown,Unknown,Thermoplasmata,BLAST,NA,Thermoplasmata,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thermoplasmata
OYT56733_Unknown_Unknown_Unknown_Unknown_Euryarchaeota_BLAST,OYT56733,Unknown,Unknown,Unknown,Unknown,Euryarchaeota,BLAST,NA,Euryarchaeota,NA,NA,NA,NA,NA,NA,NA,NA,NA,Euryarchaeota
TFG06765_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,TFG06765,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,TFG06765.1 radical SAM protein [Candidatus Thorarchaeota archaeon],TFG06765.1,radical,SAM,protein,[Candidatus,Thorarchaeota,archaeon],NA,NA
RLF53058_Unknown_Unknown_Unknown_Unknown_Thermoplasmata_BLAST,RLF53058,Unknown,Unknown,Unknown,Unknown,Thermoplasmata,BLAST,NA,Thermoplasmata,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thermoplasmata
RLF60985_Unknown_Unknown_Unknown_Unknown_Thermoplasmata_BLAST,RLF60985,Unknown,Unknown,Unknown,Unknown,Thermoplasmata,BLAST,NA,Thermoplasmata,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thermoplasmata
RLF36212_Unknown_Unknown_Unknown_Unknown_Thermoplasmata_BLAST,RLF36212,Unknown,Unknown,Unknown,Unknown,Thermoplasmata,BLAST,NA,Thermoplasmata,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thermoplasmata
RLF50213_Unknown_Unknown_Unknown_Unknown_Thermoplasmata_BLAST,RLF50213,Unknown,Unknown,Unknown,Unknown,Thermoplasmata,BLAST,NA,Thermoplasmata,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thermoplasmata
RLF34247_Unknown_Unknown_Unknown_Unknown_Thermoplasmata_BLAST,RLF34247,Unknown,Unknown,Unknown,Unknown,Thermoplasmata,BLAST,NA,Thermoplasmata,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thermoplasmata
RLF60986_Unknown_Unknown_Unknown_Unknown_Thermoplasmata_BLAST,RLF60986,Unknown,Unknown,Unknown,Unknown,Thermoplasmata,BLAST,NA,Thermoplasmata,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thermoplasmata
TFG06764_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,TFG06764,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,"TFG06764.1 radical SAM protein, partial [Candidatus Thorarchaeota archaeon]",TFG06764.1,radical,SAM,"protein,",partial,[Candidatus,Thorarchaeota,archaeon],NA
OYT56732_Unknown_Unknown_Unknown_Unknown_Euryarchaeota_BLAST,OYT56732,Unknown,Unknown,Unknown,Unknown,Euryarchaeota,BLAST,NA,Euryarchaeota,NA,NA,NA,NA,NA,NA,NA,NA,NA,Euryarchaeota
RLF50000_Unknown_Unknown_Unknown_Unknown_Thermoplasmata_BLAST,RLF50000,Unknown,Unknown,Unknown,Unknown,Thermoplasmata,BLAST,NA,Thermoplasmata,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thermoplasmata
004511797_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geobacter_PFAM,004511797,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,PFAM,NA,Deltaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deltaproteobacteria
PIS47385_Unknown_Unknown_Unknown_Unknown_Elusimicrobia_BLAST,PIS47385,Unknown,Unknown,Unknown,Unknown,Elusimicrobia,BLAST,NA,Elusimicrobia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elusimicrobia
OGR49987_Unknown_Unknown_Unknown_Unknown_Elusimicrobia_BLAST,OGR49987,Unknown,Unknown,Unknown,Unknown,Elusimicrobia,BLAST,NA,Elusimicrobia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elusimicrobia
KAF0127130_Unknown_Unknown_Unknown_Unknown_Elusimicrobia_BLAST,KAF0127130,Unknown,Unknown,Unknown,Unknown,Elusimicrobia,BLAST,NA,Elusimicrobia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elusimicrobia
OGS07379_Unknown_Unknown_Unknown_Unknown_Elusimicrobia_BLAST,OGS07379,Unknown,Unknown,Unknown,Unknown,Elusimicrobia,BLAST,NA,Elusimicrobia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elusimicrobia
OGR94160_Unknown_Unknown_Unknown_Unknown_Elusimicrobia_BLAST,OGR94160,Unknown,Unknown,Unknown,Unknown,Elusimicrobia,BLAST,NA,Elusimicrobia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elusimicrobia
OGR68253_Unknown_Unknown_Unknown_Unknown_Elusimicrobia_BLAST,OGR68253,Unknown,Unknown,Unknown,Unknown,Elusimicrobia,BLAST,NA,Elusimicrobia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elusimicrobia
OGR62108_Unknown_Unknown_Unknown_Unknown_Elusimicrobia_BLAST,OGR62108,Unknown,Unknown,Unknown,Unknown,Elusimicrobia,BLAST,NA,Elusimicrobia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elusimicrobia
OGR51611_Unknown_Unknown_Unknown_Unknown_Elusimicrobia_BLAST,OGR51611,Unknown,Unknown,Unknown,Unknown,Elusimicrobia,BLAST,NA,Elusimicrobia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elusimicrobia
OGR39595_Unknown_Unknown_Unknown_Unknown_Elusimicrobia_BLAST,OGR39595,Unknown,Unknown,Unknown,Unknown,Elusimicrobia,BLAST,NA,Elusimicrobia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elusimicrobia
PKM98778_Unknown_Unknown_Unknown_Unknown_Elusimicrobia_BLAST,PKM98778,Unknown,Unknown,Unknown,Unknown,Elusimicrobia,BLAST,NA,Elusimicrobia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elusimicrobia
OYT56730_Unknown_Unknown_Unknown_Unknown_Euryarchaeota_BLAST,OYT56730,Unknown,Unknown,Unknown,Unknown,Euryarchaeota,BLAST,NA,Euryarchaeota,NA,NA,NA,NA,NA,NA,NA,NA,NA,Euryarchaeota
OGC06920_Unknown_Unknown_Unknown_Unknown_candidate_BLAST,OGC06920,Unknown,Unknown,Unknown,Unknown,candidate,BLAST,NA,candidate,OGC06920.1 hypothetical protein A2230_07730 [candidate division WOR-1 bacterium RIFOXYA2_FULL_36_21],OGC06920.1,hypothetical,protein,A2230_07730,[candidate,division,WOR-1,bacterium RIFOXYA2_FULL_36_21],NA
OGC22648_Unknown_Unknown_Unknown_Unknown_candidate_BLAST,OGC22648,Unknown,Unknown,Unknown,Unknown,candidate,BLAST,NA,candidate,OGC22648.1 hypothetical protein A2310_07805 [candidate division WOR-1 bacterium RIFOXYB2_FULL_37_13],OGC22648.1,hypothetical,protein,A2310_07805,[candidate,division,WOR-1,bacterium RIFOXYB2_FULL_37_13],NA
RLC64878_Unknown_Unknown_Unknown_Unknown_Chloroflexi_BLAST,RLC64878,Unknown,Unknown,Unknown,Unknown,Chloroflexi,BLAST,NA,Chloroflexi,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chloroflexi
OGI03339_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,OGI03339,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,OGI03339.1 hypothetical protein A2Y25_01760 [Candidatus Melainabacteria bacterium GWF2_37_15],OGI03339.1,hypothetical,protein,A2Y25_01760,[Candidatus,Melainabacteria,bacterium,GWF2_37_15],NA
OGH99347_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,OGH99347,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,OGH99347.1 hypothetical protein A2039_09425 [Candidatus Melainabacteria bacterium GWA2_34_9],OGH99347.1,hypothetical,protein,A2039_09425,[Candidatus,Melainabacteria,bacterium,GWA2_34_9],NA
