"","dendcut","dendcut10","dendcut11","dendcut12","dendcut13","dendcut14","dendcut15","dendcut16","dendcut17","dendcut18","dendcut19","dendcut20","dendcut21","dendcut22","dendcut23"
"WP_054935629_Firmicutes_Clostridia_Thermoanaerobacterales_Thermoanaerobacteraceae_Moorella_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_015591331_Euryarchaeota_Euryarchaeota_Archaeoglobaceae_NA_Archaeoglobus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_020963121_Crenarchaeota_Thermoprotei_Thermofilaceae_NA_Thermofilum_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_068860385_Nitrospirae_Nitrospira_Nitrospirales_Nitrospiraceae_Thermodesulfovibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_012545285_Nitrospirae_Nitrospira_Nitrospirales_Nitrospiraceae_Thermodesulfovibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_020885956_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfohalovibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_014321683_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_011176675_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_014258347_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfocurvibacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_012612992_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_011734779_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Desulfuromonadaceae_Pelobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_040096935_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geoalkalibacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_039741599_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_006000448_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Desulfuromonadaceae_Desulfuromonas_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_040199571_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geoalkalibacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_053550010_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Desulfuromonadaceae_Desulfuromonas_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_011342670_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Desulfuromonadaceae_Pelobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_072284083_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Desulfuromonadaceae_Pelobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_072288151_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Desulfuromonadaceae_Pelobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_011341122_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Desulfuromonadaceae_Pelobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_011342289_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Desulfuromonadaceae_Pelobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_072283355_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Desulfuromonadaceae_Pelobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_012309638_Candidatus_Korarchaeota_Candidatus_Korarchaeum_NA_NA_Korarchaeum_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_069701541_Firmicutes_Bacilli_Bacillales_No_family_Desulfuribacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_069644026_Firmicutes_Bacilli_Bacillales_No_family_Desulfuribacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_072906313_Firmicutes_Clostridia_Clostridiales_Proteinivoraceae_Anaerobranca_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_066620950_Firmicutes_Clostridiaceae_Clostridiales_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_007062347_Firmicutes_Clostridiales_Clostridia_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_012269198_Firmicutes_Clostridia_Thermoanaerobacterales_Thermoanaerobacteraceae_Thermoanaerobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_057979132_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Caloramator_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_014901432_Firmicutes_Clostridia_Clostridiales_Peptococcaceae_Desulfosporosinus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_075363698_Firmicutes_Clostridia_Clostridiales_Peptococcaceae_Desulfosporosinus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_045572828_Firmicutes_Clostridia_Clostridiales_Peptococcaceae_Desulfosporosinus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_009614941_Firmicutes_Clostridia_Clostridiales_Peptococcaceae_Desulfosporosinus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_014184071_Firmicutes_Clostridia_Clostridiales_Peptococcaceae_Desulfosporosinus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_011343720_Firmicutes_Clostridia_Thermoanaerobacterales_Thermoanaerobacteraceae_Carboxydothermus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_012966572_Euryarchaeota_Archaeoglobi_Archaeoglobales_Archaeoglobaceae_Ferroglobus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_014164022_Synergistetes_Synergistia_Synergistales_Synergistaceae_Thermovirga_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_012997484_Euryarchaeota_Euryarchaeota_NA_NA_Aciduliprofundum_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_048165661_Euryarchaeota_Thermococci_Thermococcales_Thermococcaceae_Palaeococcus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_004066798_Thermococcales_Thermococcaceae_Thermococcus_NA_Thermococcus_Tungstern_maturase",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_015849282_Euryarchaeota_Thermococcales_Thermococcus_NA_Thermococcus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_012447288_Firmicutes_Clostridia_Natranaerobiales_Natranaerobiaceae_Natranaerobius_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_003543949_Firmicutes_Clostridia_Clostridiales_Peptococcaceae_Desulfotomaculum_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_021166989_Firmicutes_Negativicutes_Selenomonadales_Sporomusaceae_Sporomusa_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_052661445_Firmicutes_Clostridiaceae_Clostridiales_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_014435319_Chloroflexi_Caldilineae_Caldilineales_Caldilineaceae_Caldilinea_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_061919391_Chloroflexi_Anaerolineae_Anaerolineales_Anaerolineaceae_Bellilinea_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_012158966_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Alkaliphilus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_015042246_Firmicutes_Clostridia_Clostridiales_Peptococcaceae_Dehalobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_013405262_Firmicutes_Clostridia_Halanaerobiales_Halanaerobiaceae_Halanaerobium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_076544236_Firmicutes_Clostridia_Halanaerobiales_Halanaerobiaceae_Halanaerobium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_005489954_Firmicutes_Clostridia_Halanaerobiales_Halanaerobiaceae_Halanaerobium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_015042199_Firmicutes_Clostridia_Clostridiales_Peptococcaceae_Dehalobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_015042203_Firmicutes_Clostridia_Clostridiales_Peptococcaceae_Dehalobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_073337721_Firmicutes_Clostridia_Terrabacteria_group_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_007221878_Planctomycetes_PVC_group_Candidatus_Brocadiaceae_NA_Jettenia_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_052565100_Planctomycetes_Candidatus_Brocadiaceae_Candidatus_Brocadiales_NA_Brocadia_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_070068098_Planctomycetes_PVC_group_Candidatus_Brocadiaceae_NA_Brocadia_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_034563407_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_023927651_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_004078399_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanomicrobiaceae_Methanoplanus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_015691632_Bacteroidetes_Saprospiria_Saprospirales_Saprospiraceae_Saprospira_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_012826022_Proteobacteria_Deltaproteobacteria_Myxococcales_Kofleriaceae_Haliangium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_011688320_Acidobacteria_Solibacteraceae_Bryobacterales_NA_Solibacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_052561231_Planctomycetes_Candidatus_Brocadiaceae_Candidatus_Brocadiales_NA_Brocadia_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_011147552_Proteobacteria_Gammaproteobacteria_Enterobacterales_Morganellaceae_Photorhabdus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_011714949_Proteobacteria_Alphaproteobacteria_Magnetococcales_Magnetococcaceae_Magnetococcus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_016279876_Firmicutes_Terrabacteria_group_Clostridiales_NA_Lachnospiraceae_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_007939068_Firmicutes_Negativicutes_Selenomonadales_Sporomusaceae_Pelosinus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_074885984_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_071175309_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_026655815_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_016229588_Firmicutes_Lachnospiraceae_Clostridia_NA_Lachnospiraceae_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_009251177_Firmicutes_Clostridiales_Terrabacteria_group_NA_Lachnospiraceae_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_035315862_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Kineothrix_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_021639047_Firmicutes_Terrabacteria_group_NA_NA_Clostridiales_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_016291886_Firmicutes_Terrabacteria_group_Clostridiales_NA_Lachnospiraceae_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_012655838_Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Macrococcus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_034563074_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_023929302_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_034579356_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_002955996_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"Q8G907_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_BtrN",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_009676482_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_051462484_Proteobacteria_Gammaproteobacteria_Enterobacterales_Morganellaceae_Xenorhabdus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_025424493_Proteobacteria_Gammaproteobacteria_Enterobacterales_Pectobacteriaceae_Sodalis_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_074239458_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Chitinophaga_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_014201815_Bacteroidetes_Flavobacteriia_Flavobacteriales_Cryomorphaceae_Owenweeksia_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_071157766_Proteobacteria_Gammaproteobacteria_Methylococcales_Methylococcaceae_Methylomonas_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_011340844_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Desulfuromonadaceae_Pelobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_011171030_Euryarchaeota_Methanococcales_Methanococci_NA_Methanococcus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_039134576_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Flavihumibacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_039142540_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Flavihumibacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_038287344_Firmicutes_Clostridia_Clostridiales_Hungateiclostridiaceae_Hungateiclostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_038287354_Firmicutes_Clostridia_Clostridiales_Hungateiclostridiaceae_Hungateiclostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_016297085_Firmicutes_Clostridiales_Terrabacteria_group_NA_Lachnospiraceae_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_072909017_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Desulfuromonadaceae_Malonomonas_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_015956205_Cyanobacteria_No_class_Chroococcales_Aphanothecaceae_Gloeothece_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_066533933_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Acutalibacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_016216289_Firmicutes_Clostridia_Clostridiales_Eubacteriaceae_Eubacterium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_044774445_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_RrrB",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_021330513_Spirochaetes_Spirochaetia_Spirochaetales_Spirochaetaceae_Treponema_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_013255495_Spirochaetes_Spirochaetia_Spirochaetales_Spirochaetaceae_Sediminispirochaeta_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_015423791_Candidatus_Cloacimonetes_NA_NA_NA_Cloacimonas_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_000039165_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_TrnC",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_013136730_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Campylobacteraceae_Arcobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_005006549_Nitrospinae_Nitrospinia_Nitrospinales_Nitrospinaceae_Nitrospina_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_013136737_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Campylobacteraceae_Arcobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_068717929_Firmicutes_Clostridia_Halanaerobiales_Halobacteroidaceae_Orenia_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_016298408_Firmicutes_Terrabacteria_group_Clostridiales_NA_Lachnospiraceae_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_031132490_Actinobacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces_NeoN",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_012645763_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_014958864_Proteobacteria_Deltaproteobacteria_Desulfobacterales_Desulfobacteraceae_Desulfobacula_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_006655325_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_002956896_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_013293068_Proteobacteria_Betaproteobacteria_Nitrosomonadales_Gallionellaceae_Gallionella_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_011712739_Proteobacteria_Alphaproteobacteria_Magnetococcales_Magnetococcaceae_Magnetococcus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_064030658_Proteobacteria_Gammaproteobacteria_Methylococcales_Methylococcaceae_Methylomonas_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_006890459_Proteobacteria_Gammaproteobacteria_Methylococcales_Methylococcaceae_Methylobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_062329023_Proteobacteria_Gammaproteobacteria_Methylococcales_Methylococcaceae_Methylomonas_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_004058025_Firmicutes_Clostridia_Clostridiales_Eubacteriaceae_Eubacterium_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_002956889_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_007884106_Proteobacteria_Betaproteobacteria_Burkholderiales_Oxalobacteraceae_Herbaspirillum_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_011371813_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Sulfurimonas_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_015850757_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_011114941_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_034371489_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_016298418_Firmicutes_Clostridiales_Terrabacteria_group_NA_Lachnospiraceae_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_011371831_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Sulfurimonas_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_011371833_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Sulfurimonas_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_068555235_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Thermotalea_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_021002333_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_038235582_Proteobacteria_Gammaproteobacteria_Enterobacterales_Morganellaceae_Xenorhabdus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_038260164_Proteobacteria_Gammaproteobacteria_Enterobacterales_Morganellaceae_Xenorhabdus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_045970046_Proteobacteria_Gammaproteobacteria_Enterobacterales_Morganellaceae_Xenorhabdus_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_009251578_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Eisenbergiella_PFAM",3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
"WP_000759818_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_TrnD",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_009172342_Firmicutes_Clostridiaceae_Clostridiales_Clostridiaceae_Clostridium_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_013329291_Euryarchaeota_Methanomicrobia_Methanomicrobia_NA_Methanolacinia_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_024401070_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_SuiB",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_025193627_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_AgaB",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_011681383_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_StrB",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_012546276_Nitrospirae_Nitrospira_Nitrospirales_Nitrospiraceae_Thermodesulfovibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_068858647_Nitrospirae_Nitrospira_Nitrospirales_Nitrospiraceae_Thermodesulfovibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_046371420_Bacteroidetes_Chitinophagia_Chitinophagales_Chitinophagaceae_Flavihumibacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_015120426_Cyanobacteria_No_class_Nostocales_Rivulariaceae_Rivularia_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_058258170_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Herbinix_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_047995548_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Puniceibacterium_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_015758440_Firmicutes_Clostridia_Clostridiales_Peptococcaceae_Desulfofarcimen_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_060833037_Cyanobacteria_No_class_Chroococcales_Chroococcaceae_Geminocystis_GscM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"EAW33976_Cyanobacteria_No_class_Oscillatoriales_Oscillatoriaceae_Lyngbya_LscM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"OIP69445_Cyanobacteria_Oscillatoriophycideae_Oscillatoriales_NA_Oscillatoriales_OscM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_013296611_Firmicutes_Clostridia_Thermoanaerobacterales_Thermoanaerobacterales_Family_III__Incertae_Sedis_Thermoanaerobacterium_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_062320133_Firmicutes_Bacilli_Bacillales_Bacillaceae_Halolactibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_046679861_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_068646545_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_036649086_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_011688292_Acidobacteria_Candidatus_Solibacter_Solibacteraceae_NA_Solibacter_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_015751361_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfohalobiaceae_Desulfohalobium_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_013780162_Firmicutes_Clostridia_Thermoanaerobacterales_Thermoanaerobacterales_Family_IV__Incertae_Sedis_Mahella_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_073612562_Proteobacteria_Deltaproteobacteria_Desulfobacterales_Desulfobulbaceae_Desulfopila_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_012154975_Proteobacteria_Gammaproteobacteria_Alteromonadales_Shewanellaceae_Shewanella_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
"WP_011263104_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Aliivibrio_PFAM",3,4,5,5,5,5,5,5,6,6,6,7,7,7,7
